Order;Family;Genus;Species;Taxon;Species_english;Origin;Distribution;Distr_recent;habitat;habitat_short;migratory_status;diet;Likelihood;new_rank;new_name;comments;group
Passeriformes;Sturnidae;Sturnus;Sturnus vulgaris;Sturnus vulgaris;Common Starling;Palaearctic;Palaearctic;yes;any;diverse;partial migrant;invertebrates;high;species;Sturnus vulgaris;;small_birds
Passeriformes;Turdidae;Catharus;Catharus ustulatus;Catharus ustulatus;Swainson's Thrush;Nearctic;Nearctic, GB;no;woodland, shrubland;forest;long-distance;omnivore;medium;genus;Catharus;distribution arctic, Bering strait, one species, C. minimus towards Eastern Sibiria;small_birds
Passeriformes;Turdidae;Erithacus;Erithacus rubecula;Erithacus rubecula;European Robin;Palaearctic;Palaearctic;yes;any, forest, shrubland;forest;partial migrant;invertebrates;high;species;Erithacus rubecula;;small_birds
Passeriformes;Tyrannidae;Empidonax;Empidonax traillii;Empidonax traillii;Willow Flycatcher;Nearctic;Nearctic;no;forest;forest;long-distance;invertebrates;medium;genus;Empidonax;other species of genus occur in Canada+ Alaska, E. hammondii;small_birds
Passeriformes;Tyrannidae;Myiozetetes;Myiozetetes cayanensis;Myiozetetes cayanensis;Rusty-margined Flycatcher;Neotropic;Neotropic;no;open forest;forest;resident;invertebrates;low;family;Tyrannidae;family is New World Flycatchers;small_birds
Pelecaniformes;Ardeidae;Ardea;Ardea cinerea;Ardea cinerea;Gray Heron;Palaearctic;Palaearctic;yes;wetland, freshwater;water;partial migrant;piscivore;high;species;Ardea cinerea;;waterfowl
Pelecaniformes;Ardeidae;Ardea;Ardea purpurea;Ardea purpurea;Purple Heron;Palaearctic;Palaearctic;yes;wetland, freshwater;water;partial migrant;piscivore;medium;species;Ardea purpurea;;waterfowl
Pelecaniformes;Ardeidae;Bubulcus; Bubulcus ibis; Bubulcus ibis;Western Cattle Egret;Old World;Cosmopolitan;yes;wetlands;water;partial migrant;omnivore;medium;species; Bubulcus ibis;warm temperate;waterfowl
Pelecaniformes;Ardeidae;Butorides;Butorides striata;Butorides striata;Striated Heron;Holtropic;Holtropic;no;mangroves;forest;resident;piscivore;low;genus;Butorides;subspecies amurensis occuring in southeast Sibiria, northeast China, actophila in eastern China, northern Vietnam;waterfowl
Pelecaniformes;Ardeidae;Egretta;Egretta garzetta;Egretta garzetta;Little Egret;Palaearctic;Palaearctic;yes;wetland;water;partial migrant;herbivore;high;species;Egretta garzetta;southern Palaearctic;waterfowl
Pelecaniformes;Pelecanidae;Pelecanus;Pelecanus crispus;Pelecanus crispus;Dalmatian pelican;Palaearctic;Palaearctic;no;wetland;water;short-distance;piscivore;high;species;Pelecanus crispus;;waterfowl
Pelecaniformes;Threskiornithidae;Nipponia;Nipponia nippon;Nipponia nippon;Crested Ibis;Palaearctic;Palaearctic;no;wetland;water;NA;piscivore;high;species;Nipponia nippon;species going extinct, formerly distributed all over Sibiria;waterfowl
Pelecaniformes;Threskiornithidae;Platalea;Platalea minor;Platalea minor;Black-faced Spoonbill;Palaetropic;Palaetropic;yes;wetland;water;resident;invertebrates;medium;genus;Platalea;spoonbills;waterfowl
Piciformes;Picidae;Dryobates;Dryobates pubescens;Dryobates pubescens;Downy Woodpecker;Nearctic;Nearctic;yes;woodland;forest;resident;invertebrates;medium;genus;Dryobates;genus Eurasia and Americas, species up to Alaska;small_birds
Procellariiformes;Procellariidae;Fulmarus;Fulmarus glacialis;Fulmarus glacialis;Northern Fulmar;Holarctic;Holarctic;yes;offshore;sea;NA;piscivore;high;species;Fulmarus glacialis;arctic seabird;seabirds
Strigiformes;Strigidae;Athene;Athene cunicularia;Athene cunicularia;Burrowing Owl;Nearctic;Nearctic;no;open;open;resident;carnivore, insectivore;low;genus;Athene;Genus is likely (species Athene noctua, Little Owl), species is Nearctic;owls
Strigiformes;Tytonidae;Tyto;Tyto alba;Tyto alba;Barn Owl;Cosmopolitan;Cosmopolitan;yes;open;open;resident;carnivore;high;species;Tyto alba;;owls
Suliformes;Phalacrocoracidae;Phalacrocorax;Phalacrocorax carbo;Phalacrocorax carbo;Great Cormorant;Palaearctic;Palaearctic;yes;wetland;water;resident;piscivore;high;species;Phalacrocorax carbo;;waterfowl
